stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
2495,LPR2,Le Pressoir,,47.944288,0.268414,,,0,PLA_LEPRE,1
2953,LPV1,Le Pavillon,,47.946978,0.130714,,,0,PLA_LEPAV,1
2460,LPX1,La Paix,,48.024215,0.202296,,,0,PLA_LAPAI,1
2461,LPX2,La Paix,,48.024141,0.202291,,,0,PLA_LAPAI,1
2959,LSC1,Collège Les Sources,,47.970982,0.223297,,,0,PLA_COLSO,1
2531,LSO1,Les Sources,,47.972404,0.221576,,,0,PLA_LESOU,1
2530,LSO2,Les Sources,,47.972269,0.221934,,,0,PLA_LESOU,1
2540,LSU1,Lycée Sud,,47.982411,0.228575,,,0,PLA_LYCSU,2
2539,LSU2,Lycée Sud,,47.982486,0.228486,,,0,PLA_LYCSU,2
2892,LTE1,Les Teillais,,47.948820,0.122977,,,0,PLA_LESTE,1
2941,LTR1,Les Tremelières,,47.962521,0.120098,,,0,PLA_LESTR,1
3007,LTR2,Les Tremelières,,47.962512,0.120099,,,0,PLA_LESTR,1
2492,LUA1,Le Luard,,48.009556,0.263665,,,0,PLA_LELUA,1
2491,LUA2,Le Luard,,48.009475,0.263505,,,0,PLA_LELUA,1
2130,LVA1,Brissons,,47.936834,0.268885,,,0,PLA_BRISS,1
2532,LVE2,Les Verts,,48.037534,0.177141,,,0,PLA_LESVE,1
3009,LVE3,Les Verts,,48.037109,0.177428,,,0,PLA_LESVE,1
2921,LWA1,Lycée Washington,,47.994764,0.203174,,,0,PLA_LYCEE,1
2964,LYB1,Lycée Bellevue,,48.012001,0.205233,,,0,PLA_LYBEL,1
2973,LYB2,Lycée Bellevue,,48.012352,0.205657,,,0,PLA_LYBEL,1
2965,LYM1,Lycée Malraux,,47.956036,0.166723,,,0,PLA_LYCMA,1
1087,MA03,Mairie Allonnes,,47.970271,0.159614,,,0,PLA_MAIAL,1
1086,MA04,Mairie Allonnes,,47.970072,0.159582,,,0,PLA_MAIAL,1
2424,MAC1,Jean Macé,,47.990174,0.193451,,,0,PLA_JMACE,1
